cat,review
获奖,
获奖,
获奖,
获奖,
获奖,
获奖,
获奖,学术和教学奖励
获奖,奖励
获奖,获奖
获奖,部分获奖或荣誉
获奖,荣誉与奖励：
获奖,
获奖,
获奖,
获奖,
获奖,
获奖,
获奖,
获奖,
获奖,
科研项目,项目
科研项目,科研项目
科研项目,在研基金:
科研项目,
科研项目,
科研项目,
科研项目,
科研项目,
科研项目,
科研项目,
科研项目,
科研项目,
科研项目,
科研项目,
科研项目,
科研项目,
科研项目,
经历,教育背景与工作经历
经历,教育经历
经历,工作经历
经历,经历
经历,
经历,
经历,
经历,
经历,
经历,
经历,
经历,
经历,
经历,
经历,
经历,
经历,
经历,
经历,
经历,
研究方向,主要研究方向
研究方向,主要研究领域
研究方向,研究方向、领域：
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
研究方向,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
论文,代表性论文
论文,论文
论文,学术论文：
论文,文章
论文,期刊
论文,学术期刊
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
论文,
专利,代表性专利
专利,专利
专利,已授权国家发明专利：
专利,授权专利
专利,授权
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
专利,
著作,代表性著作：
著作,教材
著作,书
著作,书籍
著作,著作
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
著作,
其他,二、课题组简介
其他,三、教学情况
其他,本科教学
其他,开设课程
其他,联系方式：
其他,电话
其他,职称
其他,研究所
其他,姓名
其他,职务
其他,邮箱
其他,个人简介：
其他,简介
其他,介绍
其他,电话：027-87792091
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
其他,
